,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
8,alonso,ferrari,1.0,3.0,0.0,Finished,25.0,2010,1,bahrain
7,massa,ferrari,2.0,2.0,16.099,Finished,18.0,2010,1,bahrain
2,hamilton,mclaren,3.0,4.0,23.182,Finished,15.0,2010,1,bahrain
5,vettel,red_bull,4.0,1.0,38.799,Finished,12.0,2010,1,bahrain
4,rosberg,mercedes,5.0,5.0,40.213,Finished,10.0,2010,1,bahrain
3,michael_schumacher,mercedes,6.0,7.0,44.163,Finished,8.0,2010,1,bahrain
1,button,mclaren,7.0,8.0,45.28,Finished,6.0,2010,1,bahrain
6,webber,red_bull,8.0,6.0,46.36,Finished,4.0,2010,1,bahrain
15,liuzzi,force_india,9.0,12.0,53.008,Finished,2.0,2010,1,bahrain
9,barrichello,williams,10.0,11.0,62.489,Finished,1.0,2010,1,bahrain
11,kubica,renault,11.0,9.0,69.093,Finished,0.0,2010,1,bahrain
14,sutil,force_india,12.0,10.0,82.958,Finished,0.0,2010,1,bahrain
17,alguersuari,toro_rosso,13.0,18.0,92.656,Finished,0.0,2010,1,bahrain
10,hulkenberg,williams,14.0,13.0,192.656,+1 Lap,0.0,2010,1,bahrain
19,kovalainen,lotus_racing,15.0,21.0,192.656,+2 Laps,0.0,2010,1,bahrain
16,buemi,toro_rosso,16.0,15.0,192.656,Electrical,0.0,2010,1,bahrain
18,trulli,lotus_racing,17.0,20.0,192.656,Hydraulics,0.0,2010,1,bahrain
22,rosa,sauber,18.0,14.0,192.656,Hydraulics,0.0,2010,1,bahrain
21,bruno_senna,hrt,19.0,23.0,192.656,Overheating,0.0,2010,1,bahrain
24,glock,virgin,20.0,19.0,192.656,Gearbox,0.0,2010,1,bahrain
12,petrov,renault,21.0,17.0,192.656,Suspension,0.0,2010,1,bahrain
23,kobayashi,sauber,22.0,16.0,192.656,Hydraulics,0.0,2010,1,bahrain
25,grassi,virgin,23.0,22.0,192.656,Hydraulics,0.0,2010,1,bahrain
20,chandhok,hrt,24.0,24.0,192.656,Accident,0.0,2010,1,bahrain
1,button,mclaren,1.0,4.0,0.0,Finished,25.0,2010,2,albert_park
11,kubica,renault,2.0,9.0,12.034,Finished,18.0,2010,2,albert_park
7,massa,ferrari,3.0,5.0,14.488,Finished,15.0,2010,2,albert_park
8,alonso,ferrari,4.0,3.0,16.304,Finished,12.0,2010,2,albert_park
4,rosberg,mercedes,5.0,6.0,16.683,Finished,10.0,2010,2,albert_park
2,hamilton,mclaren,6.0,11.0,29.898,Finished,8.0,2010,2,albert_park
15,liuzzi,force_india,7.0,13.0,59.847,Finished,6.0,2010,2,albert_park
9,barrichello,williams,8.0,8.0,60.536,Finished,4.0,2010,2,albert_park
6,webber,red_bull,9.0,2.0,67.319,Finished,2.0,2010,2,albert_park
3,michael_schumacher,mercedes,10.0,7.0,69.391,Finished,1.0,2010,2,albert_park
17,alguersuari,toro_rosso,11.0,17.0,71.301,Finished,0.0,2010,2,albert_park
22,rosa,sauber,12.0,14.0,74.084,Finished,0.0,2010,2,albert_park
19,kovalainen,lotus_racing,13.0,19.0,174.084,+2 Laps,0.0,2010,2,albert_park
20,chandhok,hrt,14.0,22.0,174.084,+5 Laps,0.0,2010,2,albert_park
24,glock,virgin,15.0,23.0,174.084,Suspension,0.0,2010,2,albert_park
25,grassi,virgin,16.0,24.0,174.084,Hydraulics,0.0,2010,2,albert_park
5,vettel,red_bull,17.0,1.0,174.084,Wheel,0.0,2010,2,albert_park
14,sutil,force_india,18.0,10.0,174.084,Engine,0.0,2010,2,albert_park
12,petrov,renault,19.0,18.0,174.084,Spun off,0.0,2010,2,albert_park
21,bruno_senna,hrt,20.0,21.0,174.084,Hydraulics,0.0,2010,2,albert_park
16,buemi,toro_rosso,21.0,12.0,174.084,Collision,0.0,2010,2,albert_park
10,hulkenberg,williams,22.0,15.0,174.084,Collision,0.0,2010,2,albert_park
23,kobayashi,sauber,23.0,16.0,174.084,Collision,0.0,2010,2,albert_park
18,trulli,lotus_racing,24.0,20.0,174.084,Hydraulics,0.0,2010,2,albert_park
5,vettel,red_bull,1.0,3.0,0.0,Finished,25.0,2010,3,sepang
6,webber,red_bull,2.0,1.0,4.849,Finished,18.0,2010,3,sepang
4,rosberg,mercedes,3.0,2.0,13.504,Finished,15.0,2010,3,sepang
11,kubica,renault,4.0,6.0,18.589,Finished,12.0,2010,3,sepang
14,sutil,force_india,5.0,4.0,21.059,Finished,10.0,2010,3,sepang
2,hamilton,mclaren,6.0,20.0,23.471,Finished,8.0,2010,3,sepang
7,massa,ferrari,7.0,21.0,27.068,Finished,6.0,2010,3,sepang
1,button,mclaren,8.0,17.0,37.918,Finished,4.0,2010,3,sepang
17,alguersuari,toro_rosso,9.0,14.0,70.602,Finished,2.0,2010,3,sepang
10,hulkenberg,williams,10.0,5.0,73.399,Finished,1.0,2010,3,sepang
16,buemi,toro_rosso,11.0,13.0,78.938,Finished,0.0,2010,3,sepang
9,barrichello,williams,12.0,7.0,178.938,+1 Lap,0.0,2010,3,sepang
8,alonso,ferrari,13.0,19.0,178.938,Engine,0.0,2010,3,sepang
25,grassi,virgin,14.0,24.0,178.938,+3 Laps,0.0,2010,3,sepang
20,chandhok,hrt,15.0,22.0,178.938,+3 Laps,0.0,2010,3,sepang
21,bruno_senna,hrt,16.0,23.0,178.938,+4 Laps,0.0,2010,3,sepang
18,trulli,lotus_racing,17.0,18.0,178.938,+5 Laps,0.0,2010,3,sepang
19,kovalainen,lotus_racing,18.0,15.0,178.938,+10 Laps,0.0,2010,3,sepang
12,petrov,renault,19.0,11.0,178.938,Gearbox,0.0,2010,3,sepang
15,liuzzi,force_india,20.0,10.0,178.938,Throttle,0.0,2010,3,sepang
3,michael_schumacher,mercedes,21.0,8.0,178.938,Wheel,0.0,2010,3,sepang
23,kobayashi,sauber,22.0,9.0,178.938,Engine,0.0,2010,3,sepang
24,glock,virgin,23.0,16.0,178.938,Spun off,0.0,2010,3,sepang
22,rosa,sauber,24.0,12.0,178.938,Engine,0.0,2010,3,sepang
1,button,mclaren,1.0,5.0,0.0,Finished,25.0,2010,4,shanghai
2,hamilton,mclaren,2.0,6.0,1.53,Finished,18.0,2010,4,shanghai
4,rosberg,mercedes,3.0,4.0,9.484,Finished,15.0,2010,4,shanghai
